ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
86.0,30.0,9.0,62.0,6.0,0.0,0.0,100.0,7,7.0,8.0,2.0,1.0,50.0,1,1.0,1.0,7.0,5,1.0,0,0.0,25.0,Good
0.0,0.0,4.0,58.0,21.0,0.0,0.0,95.0,4,4.0,4.0,21.0,0.0,9.52,0,0.0,0.0,76.0,47,9.0,2,0.0,42.86,Bad
650.0,150.0,6.0,80.0,44.0,0.0,0.0,100.0,24,7.0,7.0,68.0,12.0,45.6,2,1.0,0.0,30.0,57,8.0,31,2.0,58.0,Good
720.0,150.0,5.0,99.0,36.0,0.0,1.0,85.0,10,4.0,5.0,40.0,3.0,28.0,0,0.0,0.0,0.45,0.15,9.0,16,1.0,63.0,Good
59.0,163.0,18.0,80.0,5.0,1.0,1.0,83.0,0,6.0,6.0,6.0,1.0,83.0,6,0.0,0.0,101.0,42,1.0,0,0.0,16.6667,Bad
0.0,59.0,0.0,59.0,22.0,0.0,0.0,100.0,0,7.0,7.0,22.0,2.0,41.0,0,0.0,0.0,56.0,54,6.0,5,1.0,50.0,Bad
89.0,200.0,10.0,107.0,21.0,0.0,0.0,100.0,0,7.0,8.0,2.0,1.0,14.0,0,0.0,0.0,6.0,71,2.0,0,0.0,100.0,Good
85.0,142.0,3.0,66.0,37.0,0.0,2.0,90.0,19,6.0,3.0,40.0,2.0,10.0,1,2.0,2.0,30.0,37,4.0,4,0.0,20.0,Bad
70.0,200.0,11.0,75.0,13.0,1.0,0.0,88.0,6,3.0,5.0,18.0,1.0,11.1,3,2.0,1.0,0.0,0.0,0.0,2,0.0,11.1,Good
0.0,311.0,0.0,117.0,40.0,0.0,0.0,100.0,0,7.0,0.0,45.0,0.0,42.0,0,0.0,0.0,0.0,0,4.0,0,0.0,0.0,Good
87.0,0.0,0.0,88.0,14.0,0.0,0.0,100.0,0,7.0,0.0,22.0,0.0,4.55,22,0.0,0.0,3.0,14,1.0,1,0.0,9.09,Good
73.0,0.0,0.0,92.0,14.0,1.0,0.0,94.0,32,6.0,5.0,17.0,3.0,0.0,0,0.0,0.0,46.0,46,2.0,0,0.0,0.0,Bad
70.0,144.0,8.0,64.0,16.0,0.0,0.0,100.0,0,7.0,0.0,16.0,1.0,44.0,8,0.0,0.0,25.0,75,3.0,7,0.0,86.0,Good
0.0,0.0,0.0,76.0,24.0,0.0,0.0,100.0,0,7.0,8.0,26.0,0.0,0.0,10,0.0,0.0,0.0,54,2.0,0,0.0,71.0,Bad
0.0,72.0,0.0,28.0,6.0,3.0,0.0,88.0,41,6.0,0.0,8.0,3.0,0.0,0,2.0,2.0,0.0,3,5.0,1,0.0,0.0,Bad
80.0,80.0,12.0,40.0,7.0,0.0,0.0,86.0,16,6.0,6.0,7.0,2.0,57.14,0,1.0,0.0,0.0,64,0.0,4,0.0,57.14,Bad
100.0,219.0,60.0,80.0,29.0,1.0,2.0,74.0,13,5.0,7.0,31.0,5.0,45.0,0,1.0,0.0,40.0,82,6.0,14,1.0,19.35,Good
85.0,169.0,1.0,105.0,20.0,0.0,0.0,95.0,21,6.0,6.0,21.0,1.0,14.0,0,0.0,0.0,0.0,21,2.0,2,0.0,19.05,Bad
84.0,120.0,6.0,62.0,25.0,0.0,0.0,100.0,0,7.0,0.0,17.0,5.0,35.29,5,1.0,0.0,6.0,35,5.0,6,2.0,64.71,Bad
85.0,150.0,12.0,81.0,7.0,0.0,0.0,100.0,0,7.0,8.0,19.0,2.0,10.5,1,1.0,1.0,0.2,0.1,1.0,1,0.0,10.5,Good
720.0,254.0,12.0,118.0,39.0,1.0,0.0,95.0,34,6.0,6.0,39.0,5.0,7.7,3,2.0,2.0,20.0,9,6.0,3,1.0,23.1,Good
89.0,425.0,19.0,186.0,16.0,0.0,0.0,100.0,0,7.0,8.0,16.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,Good
0.0,379.0,0.0,59.0,43.0,0.0,0.0,100.0,0,7.0,0.0,72.0,0.0,2.78,2,0.0,0.0,8.0,24,3.0,2,0.0,6.94,Bad
60.0,429.0,29.0,155.0,13.0,0.0,0.0,94.0,2,3.0,2.0,16.0,0.0,0.0,0,0.0,0.0,0.0,0,3.0,0,0.0,0.0,Good
85.0,240.0,6.0,57.0,50.0,0.0,0.0,100.0,36,5.0,0.0,28.0,1.0,20.0,9,0.0,0.0,30.0,98,6.0,4,0.0,59.0,Bad
0.0,357.0,19.0,115.0,16.0,0.0,0.0,76.0,36,6.0,6.0,17.0,0.0,0.0,0,1.0,1.0,21.0,6,4.0,0,0.0,0.0,Good
78.0,187.0,24.0,59.0,19.0,0.0,0.0,100.0,0,7.0,0.0,32.0,13.0,3.125,0,3.0,2.0,15.625,93,5.0,1,0.0,75.0,Good
84.0,210.0,30.0,103.0,29.0,0.0,0.0,100.0,0,7.0,8.0,20.0,1.0,30.0,0,1.0,0.0,10.0,56,7.0,5,2.0,20.0,Good
78.0,242.0,5.0,71.0,24.0,0.0,0.0,92.0,2,4.0,5.0,26.0,8.0,40.0,1,2.0,2.0,45.0,54,6.0,3,0.0,78.0,Bad
0.0,0.0,0.0,55.0,54.0,0.0,0.0,98.0,0,5.0,0.0,62.0,0.0,55.0,0,0.0,0.0,0.0,91,6.0,0,0.0,64.0,Bad
48.0,120.0,6.0,65.0,27.0,0.0,0.0,77.0,2,3.0,5.0,31.0,2.0,48.0,0,1.0,1.0,72.0,45,5.0,4,2.0,29.03,Bad
83.0,267.0,12.0,106.0,13.0,0.0,0.0,92.0,53,6.0,6.0,13.0,2.0,15.0,0,0.0,0.0,48.0,24,4.0,2,0.0,46.15,Good
65.0,240.0,12.0,60.0,26.0,0.0,0.0,96.0,41,6.0,6.0,26.0,2.0,15.4,0,0.0,0.0,56.0,20,6.0,2,0.0,30.8,Bad
86.0,120.0,7.0,45.0,7.0,2.0,2.0,88.0,24,6.0,4.0,9.0,2.0,11.11,0,0.0,0.0,0.3,0.20,2.0,1,1.0,33.33,Bad
83.0,493.0,5.0,135.0,15.0,0.0,0.0,94.0,10.0,5.0,7.0,16.0,3.0,25.0,7,0.0,0.0,30.0,81,3.0,4.0,2.0,44.0,Good
0.0,0.0,0.0,76.0,52.0,0.0,0.0,98.0,35,6.0,0.0,56.0,0.0,0.0,2,0.0,0.0,13.0,0,5.0,0,0.0,0.0,Good
91.0,270.0,0.0,132.0,16.0,0.0,0.0,100.0,0,7.0,7.0,16.0,0.0,0.0,0,0.0,0.0,6.0,0,3.0,0,0.0,18.75,Good
70.0,240.0,12.0,95.0,30.0,0.0,0.0,87.0,1,4.0,4.0,38.0,5.0,5.26,17,0.0,0.0,43.0,47,8.0,2,2.0,26.32,Bad
88.0,215.0,0.0,102.0,11.0,0.0,0.0,100.0,0,7.0,0.0,11.0,0.0,36.0,0,0.0,1.0,0.0,0,3.0,0,0.0,0.0,Good
88.0,200.0,12.0,79.0,7.0,0.0,0.0,100.0,0,7.0,0.0,14.0,0.0,29.0,0,0.0,0.0,70.0,72,2.0,4,0.0,67.0,Good
74.0,120.0,8.0,50.0,18.0,0.0,0.0,83.0,11,6.0,6.0,19.0,4.0,33.0,3,1.0,1.0,0.0,100,1.0,2,0.0,15.79,Bad
85.0,210.0,12.0,86.0,19.0,0.0,0.0,100.0,6,7.0,7.0,19.0,1.0,10.5,0,1.0,1.0,30.0,92,3.0,2,0.0,26.3,Bad
70.0,180.0,12.0,65.0,38.0,0.0,0.0,100.0,0,7.0,5.0,41.0,4.0,44.0,1,1.0,1.0,51.0,73,3.0,2,1.0,12.2,Bad
86.0,156.0,12.0,63.0,17.0,2.0,1.0,82.0,24,5.0,5.0,19.0,0.0,24.0,0,1.0,1.0,31.6,76,6.0,5,2.0,58.0,Bad
86.0,120.0,6.0,53.0,19.0,1.0,0.0,95.0,32,6.0,6.0,20.0,1.0,15.0,19,0.0,0.0,45.0,63,3.0,3,0.0,30.0,Good
63.0,217.0,0.0,72.0,13.0,0.0,1.0,100.0,0,0.0,0.0,13.0,2.0,0.0,5,0.0,0.0,103.0,75,4.0,0,2.0,30.7692,Bad
0.0,85.0,0.0,43.0,21.0,0.0,0.0,100.0,0,7.0,0.0,21.0,0.0,9.5238,4,1.0,1.0,76.0,56,7.0,2,0.0,42.8571,Bad
0.0,0.0,4.0,48.0,18.0,1.0,1.0,89.0,1,3.0,0.0,19.0,2.0,58.0,0,0.0,0.0,0.0,81,4.0,13,1.0,88.0,Bad
86.0,212.0,11.0,87.0,20.0,0.0,0.0,95.0,1,4.0,4.0,22.0,3.0,18.18,0,1.0,1.0,24.0,56,6.0,4,1.0,100.0,Good
0.0,201.0,0.0,114.0,19.0,6.0,0.0,63.0,4,3.0,5.0,24.0,0.0,0.0,0,0.0,0.0,0.0,0,6.0,0,0.0,0.0,Bad
0.0,0.0,6.0,57.0,21.0,0.0,0.0,71.0,6,4.0,6.0,21.0,0.0,0.0,0,0.0,0.0,84.0,67,7.0,2,1.0,90.0,Bad
700.0,120.0,12.0,61.0,17.0,0.0,0.0,95.0,6,2.0,1.0,23.0,4.0,26.0,2,1.0,0.0,30.0,88,3.0,2,1.0,13.0,Bad
85.0,150.0,2.0,87.0,21.0,0.0,0.0,95.0,19,6.0,6.0,21.0,1.0,35.71,1,2.0,2.0,30.0,89,3.0,7.5,0.0,50.0,Bad
85.0,182.0,12.0,34.0,7.0,0.0,0.0,100.0,200,7.0,7.0,8.0,0.0,0.0,0,2.0,2.0,0.25,0,4.0,0,1.0,50.0,Bad
89.0,396.0,12.0,129.0,15.0,0.0,0.0,100.0,0,7.0,8.0,15.0,0.0,13.0,0,0.0,0.0,0.25,0.15,2.0,1,1.0,20.0,Good
70.0,120.0,5.0,93.0,24.0,1.0,0.0,84.0,8,4.0,5.0,25.0,10.0,20.0,0,2.0,2.0,0.3,0.2,3.0,2,4.0,20.0,Good
70.0,123.0,13.0,57.0,5.0,5.0,6.0,71.0,29,6.0,2.0,8.0,2.0,0.0,0,2.0,2.0,100.0,0,1.0,0,0.0,100.0,Bad
77.0,120.0,12.0,64.0,27.0,0.0,0.0,100.0,0,7.0,0.0,27.0,4.0,15.0,3,1.0,1.0,22.0,62,2.0,2,1.0,14.81,Good
88.0,83.0,2.0,37.0,24.0,0.0,0.0,100.0,0,7.0,0.0,25.0,2.0,20.0,0,1.0,0.0,29.0,58,3.0,3,2.0,24.0,Good
65.0,191.0,3.0,97.0,19.0,2.0,1.0,81.0,2,3.0,5.0,21.0,6.0,9.5,0,4.0,3.0,75.0,100,6.0,2,1.0,38.1,Bad
76.0,250.0,6.0,91.0,21.0,0.0,0.0,91.0,34,6.0,7.0,22.0,3.0,35.0,0,1.0,0.0,30.0,57,2.0,5,1.0,25.0,Bad
86.0,515.0,0.0,139.0,15.0,0.0,0.0,100.0,0,7.0,8.0,15.0,0.0,0.0,0,0.0,0.0,28.0,0,3.0,0,0.0,20.0,Good
78.0,187.0,24.0,110.0,12.0,0.0,0.0,80.0,67,6.0,2.0,15.0,2.0,33.3,16,1.0,0.0,0.2,0.15,2.0,3,1.0,33.33,Bad
62.0,396.0,100.0,195.0,4.0,0.0,0.0,75.0,58,6.0,6.0,4.0,2.0,0.0,0,0.0,0.0,0.5,0,2.0,0,0.0,50.0,Bad
86.0,219.0,1.0,50.0,6.0,0.0,0.0,75.0,6,3.0,2.0,12.0,2.0,8.33,0,4.0,4.0,17.0,8.5,2.0,1,0.0,25.0,Bad
85.0,200.0,2.0,38.0,14.0,0.0,0.0,100.0,2,7.0,7.0,16.0,2.0,13.0,2,1.0,1.0,100.0,100,2.0,2,0.0,25.0,Good
720.0,120.0,6.0,41.0,5.0,1.0,0.0,83.0,8,3.0,3.0,6.0,1.0,33.33,0,1.0,1.0,55.0,86,1.0,2,0.0,16.67,Bad
73.0,120.0,30.0,75.0,40.0,0.0,0.0,98.0,42,6.0,6.0,48.0,3.0,27.0,4,1.0,0.0,85.0,91,6.0,3,2.0,19.0,Good
86.0,219.0,12.0,92.0,16.0,0.0,0.0,100.0,0,7.0,7.0,16.0,2.0,12.5,11,0.0,0.0,71.0,71,2.0,2,0.0,57.0,Good
82.0,210.0,30.0,106.0,23.0,0.0,0.0,100.0,48,7.0,8.0,23.0,2.0,22.0,0,1.0,0.0,0.3,0.2,3.0,1,2.0,45.0,Good
79.0,122.0,12.0,54.0,23.0,0.0,0.0,100.0,6,7.0,2.0,25.0,2.0,38.0,3,1.0,1.0,4.0,130,1.0,5,0.0,50.0,Good
88.0,393.0,16.0,158.0,15.0,0.0,0.0,100.0,0,7.0,8.0,16.0,0.0,12.5,0,0.0,0.0,0.2,0.1,3.0,2,0.0,31.25,Good
56.0,200.0,4.0,124.0,28.0,0.0,0.0,84.0,4,4.0,6.0,31.0,5.0,19.35,4,2.0,1.0,35.48,88,11.0,6,2.0,54.84,Good
86.0,150.0,12.0,75.0,29.0,0.0,1.0,87.0,43,6.0,6.0,42.0,5.0,2.38,11,2.0,0.0,0.2,0.1,3.0,1,1.0,9.52,Good
86.0,219.0,12.0,98.0,24.0,0.0,0.0,93.0,56,6.0,8.0,28.0,5.0,32.0,0,0.0,0.0,19.0,10,6.0,9,0.0,53.57,Good
620.0,240.0,13.0,91.0,10.0,0.0,0.0,56.0,3,3.0,4.0,17.0,6.0,35.0,0,2.0,2.0,28.0,45,3.0,2,1.0,29.41,Bad
57.0,257.0,7.0,81.0,11.0,5.0,3.0,40.0,7,1.0,1.0,15.0,1.0,40.0,0,1.0,1.0,11.0,0,3.0,6,0.0,57.0,Bad
0.0,0.0,3.0,79.0,19.0,0.0,0.0,79.0,13,6.0,6.0,20.0,0.0,15.0,3,0.0,0.0,33.0,45,3.0,3,0.0,15.0,Bad
86.0,94.0,5.0,52.0,25.0,0.0,0.0,100.0,0,7.0,0.0,25.0,2.0,28.0,5,1.0,1.0,20.0,78,5.0,7,2.0,50.0,Good
70.0,200.0,6.0,88.0,28.0,0.0,0.0,89.0,12,6.0,6.0,28.0,0.0,39.0,0,3.0,0.0,30.0,62,3.0,2,0.0,18.0,Bad
0.0,152.0,5.0,74.0,20.0,0.0,2.0,87.0,13,5.0,2.0,23.0,0.0,13.0,5,0.0,1.0,0.0,57,0.0,3,0.0,13.0,Bad
86.0,219.0,12.0,71.0,25.0,0.0,0.0,100.0,0,7.0,0.0,25.0,4.0,0.0,0,0.0,0.0,0.0,76,6.0,0,0.0,86.0,Bad
0,183.0,0,84.0,21.0,0,0,86.0,3,6.0,4.0,24.0,1.0,0,2,0,0,15.0,0,2.0,0,0,0,Good
70.0,181.0,6.0,98.0,2.0,1.0,0.0,67.0,66,6.0,3.0,3.0,1.0,33.33,4,1.0,0.0,0.25,0.15,1.0,1,0.0,66.67,Bad
70.0,152.0,6.0,82.0,26.0,0.0,0.0,79.0,17,6.0,12.0,28.0,2.0,29.0,1,1.0,1.0,42.0,87,7.0,3,0.0,35.7,Bad
90.0,150.0,30.0,69.0,12.0,0.0,0.0,100.0,0,7.0,0.0,12.0,5.0,16.7,0,0.0,0.0,2.0,55,1.0,2,0.0,43.0,Good
73.0,150.0,6.0,65.0,24.0,0.0,0.0,100.0,0,7.0,0.0,24.0,1.0,58.3,0,1.0,0.0,68.0,80,3.0,14,1.0,71.0,Good
0.0,152.0,0.0,74.0,10.0,0.0,0.0,85.0,37,6.0,0.0,16.0,4.0,0.0,5,0.0,0.0,0.0,0,5.0,0,0.0,0.0,Good
84.0,300.0,5.0,137.0,37.0,0.0,0.0,100.0,0,7.0,8.0,37.0,2.0,0.0,0,0.0,0.0,2.0,43,8.0,0,0.0,21.62,Good
64.0,150.0,12.0,77.0,21.0,0.0,0.0,100.0,0,7.0,8.0,21.0,2.0,24.0,0,6.0,5.0,0.35,0.2,6.0,3,2.0,100.0,Good
55.0,378.0,15.0,103.0,22.0,0.0,0.0,75.0,1,0.0,2.0,26.0,0.0,29.0,0,3.0,3.0,27.0,73,5.0,7.54,1.0,48.23,Bad
70.0,150.0,20.0,85.0,35.0,0.0,0.0,95.0,22,6.0,8.0,38.0,3.0,24.0,0,0.0,0.0,38.0,9.12,5.0,9,4.0,36.84,Good
78.0,260.0,8.0,83.0,58.0,0.0,2.0,92.0,30,5.0,6.0,60.0,4.0,30.0,0,1.0,0.0,109.0,79,9.0,5,4.0,23.3,Bad
85.0,167.0,30.0,87.0,9.0,0.0,0.0,90.0,74,6.0,6.0,10.0,2.0,20.0,0,1.0,0.0,80.0,99,6.0,2,0.0,100.0,Bad
87.0,200.0,2.0,100.0,22.0,0.0,0.0,100.0,12,7.0,8.0,25.0,2.0,44.0,1,1.0,1.0,30.0,83,5.0,6,2.0,20.0,Good
78.0,120.0,6.0,59.0,26.0,0.0,0.0,93.0,2,4.0,6.0,28.0,5.0,18.0,0,0.0,0.0,10.7,17.9,3.0,5,2.0,29.0,Bad
0.0,0.0,0.0,11.0,2.0,0.0,0.0,100.0,0,7.0,0.0,2.0,0.0,100.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,Bad
85.0,150.0,6.0,93.0,45.0,0.0,0.0,96.0,10,4.0,6.0,19.0,3.0,26.5,2,1.0,1.0,28.0,59,14.0,4,2.0,94.7,Bad
70.0,311.0,45.0,134.0,17.0,1.0,1.0,89.0,77,6.0,6.0,20.0,1.0,11.0,20,2.0,1.0,1.0,0.5,3.0,2,1.0,56.0,Good
85.0,96.0,12.0,38.0,40.0,0.0,0.0,100.0,0,7.0,0.0,40.0,5.0,10.0,0,13.0,13.0,21.0,61,6.0,4,1.0,42.0,Bad
69.0,261.0,12.0,88.0,23.0,0.0,0.0,84.0,0,4.0,6.0,26.0,5.0,23.1,2,1.0,1.0,30.0,100,2.0,4,0.0,23.08,Bad
82.0,210.0,40.0,89.0,17.0,0.0,0.0,100.0,12,7.0,7.0,15.0,5.0,13.33,24,0.0,0.0,24.0,10,3.0,2,2.0,33.33,Bad
80.0,210.0,12.0,99.0,9.0,0.0,7.0,82.0,51,6.0,0.0,11.0,1.0,82.0,0,0.0,0.0,30.0,81,2.0,1,0.0,18.2,Good
76.0,197.0,8.0,73.0,19.0,0.0,0.0,86.0,19,6.0,9.0,22.0,2.0,5.0,8,1.0,1.0,7.0,2.0,1.0,1,1.0,9.1,Good
0.0,0.0,0.0,50.0,34.0,0.0,0.0,100.0,0,7.0,0.0,34.0,0.0,5.88,0,0.0,1.0,0.0,44,2.0,2,0.0,11.76,Good
86.0,173.0,12.0,44.0,14.0,0.0,1.0,100.0,0,7.0,0.0,14.0,2.0,14.0,0,0.0,0.0,45.0,89,4.0,2,0.0,75.0,Good
88.0,180.0,14.0,116.0,6.0,0.0,0.0,100.0,0,7.0,8.0,6.0,0.0,33.33,13,0.0,0.0,0.5,0.2,4.0,2,0.0,100.0,Good
58.0,200.0,32.0,95.0,8.0,8.0,8.0,67.0,3,0.0,1.0,5.0,0.0,40.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,Bad
80.0,150.0,6.0,76.0,19.0,0.0,0.0,100.0,0,7.0,8.0,19.0,2.0,15.79,0,1.0,0.0,44.0,15,4.0,3,0.0,36.84,Bad
70.0,240.0,12.0,56.0,22.0,0.0,0.0,100.0,24,7.0,7.0,23.0,5.0,9.0,1,1.0,1.0,13.0,5,1.0,1,0.0,8.7,Good
87.0,369.0,12.0,177.0,18.0,0.0,0.0,100.0,0,7.0,8.0,19.0,1.0,26.0,0,1.0,0.0,15.8,57,3.0,5,0.0,15.8,Good
0.0,207.0,4.0,46.0,17.0,0.0,0.0,100.0,0,7.0,8.0,17.0,4.0,24.0,0,3.0,3.0,0.0,66,6.0,0,0.0,67.0,Bad
68.0,0.0,4.0,75.0,31.0,0.0,0.0,94.0,12,6.0,0.0,35.0,0.0,37.0,0,0.0,0.0,0.0,85,5.0,0,0.0,70.0,Bad
85.0,267.0,12.0,53.0,20.0,0.0,0.0,92.0,76,6.0,6.0,24.0,3.0,12.5,0,1.0,0.0,50.0,52,5.0,3,4.0,20.8,Good
79.0,200.0,17.0,124.0,12.0,0.0,0.0,100.0,0,7.0,7.0,12.0,0.0,8.33,0,1.0,0.0,0.2,0.1,1.0,1,0.0,16.67,Bad
86.0,219.0,30.0,27.0,11.0,1.0,0.0,92.0,7,0.0,2.0,12.0,2.0,50.0,0,1.0,0.0,0.0,95,0.0,0,0.0,0.0,Bad
-1.0,-1.0,-1.0,68.0,32.0,-1.0,0.0,100.0,-1,7.0,-1.0,47.0,-1.0,-1.0,4,-1.0,-1.0,5.0,-1,3.0,-1,-1.0,36.0,Good
720.0,180.0,12.0,67.0,41.0,0.0,0.0,100.0,24,7.0,7.0,59.0,5.0,20.34,3,1.0,0.0,30.0,61,6.0,3,1.0,15.25,Good
86.0,200.0,0.0,106.0,31.0,0.0,0.0,100.0,0,7.0,0.0,31.0,0.0,0.0,0,0.0,0.0,83.0,69,14.0,0,0.0,45.16,Bad
80.0,120.0,12.0,44.0,9.0,0.0,0.0,71.0,58,6.0,6.0,17.0,2.0,5.88,0,4.0,4.0,0.2,0.10,1.0,1,0.0,11.76,Bad
0.0,0.0,0.0,111.0,26.0,0.0,0.0,100.0,0,7.0,8.0,28.0,0.0,7.0,0,3.0,0.0,0.0,0,7.0,2,0.0,25.0,Good
86.0,219.0,4.0,73.0,28.0,0.0,0.0,100.0,0,7.0,8.0,29.0,3.0,24.0,0,4.0,4.0,2.0,2,6.0,1,0.0,24.0,Bad
78.0,240.0,18.0,73.0,28.0,0.0,1.0,97.0,1,0.0,0.0,29.0,2.0,41.0,0,1.0,0.0,30.0,96,4.0,4,1.0,60.0,Bad
74.0,148.0,12.0,83.0,22.0,0.0,0.0,100.0,0,7.0,0.0,23.0,1.0,21.7,1,1.0,1.0,30.0,57,2.0,2,0.0,17.39,Good
600.0,240.0,39.0,114.0,19.0,0.0,0.0,78.0,17,6.0,0.0,23.0,2.0,35.0,0,6.0,6.0,0.3,0.20,3.0,2,0.0,21.74,Bad
86.0,120.0,10.0,54.0,14.0,1.0,0.0,79.0,10,4.0,5.0,15.0,6.0,6.7,0,1.0,1.0,0.3,0.1,6.0,1,1.0,46.7,Bad
89.0,240.0,4.0,108.0,28.0,0.0,0.0,100.0,0,7.0,8.0,30.0,6.0,30.0,0,2.0,1.0,10.0,66,4.0,6,2.0,33.3,Good
68.0,120.0,12.0,52.0,15.0,0.0,0.0,100.0,0,7.0,0.0,15.0,2.0,6.7,0,2.0,2.0,77.0,12,9.0,1,3.0,66.7,Good
0.0,0.0,0.0,79.0,18.0,0.0,0.0,100.0,0.0,7.0,8.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,73,4.0,0.0,0.0,0.0,Bad
720.0,150.0,15.0,63.0,20.0,0.0,0.0,100.0,180,7.0,0.0,20.0,0.0,0.0,11,0.0,0.0,5.0,0,1.0,0,0.0,25.0,Good
84.0,235.0,9.0,117.0,16.0,1.0,1.0,89.0,0,0.0,2.0,19.0,1.0,11.0,0,3.0,2.0,27.0,48,1.0,1,0.0,11.0,Bad
65.0,180.0,12.0,92.0,10.0,0.0,0.0,73.0,12,6.0,6.0,12.0,2.0,25.0,6,0.0,0.0,45.0,35,4.0,2,1.0,50.0,Bad
84.0,140.0,0.0,76.0,17.0,0.0,0.0,94.0,37,6.0,0.0,18.0,0.0,0.0,0,0.0,0.0,0.0,61,1.0,0,0.0,0.0,Good
88.0,150.0,22.0,86.0,9.0,0.0,0.0,100.0,0,7.0,8.0,10.0,0.0,40.0,0,0.0,0.0,0.0,0,2.0,2,0.0,40.0,Good
78.0,250.0,12.0,73.0,20.0,0.0,1.0,86.0,15,6.0,6.0,24.0,5.0,33.33,2,2.0,1.0,0.3,0.15,5.0,2,1.0,29.17,Bad
0,0,4.0,116.0,26.0,0,0,81.0,27,6.0,0,26.0,0,0,0,0,0,0,0,11.0,0,0,0,Bad
85.0,210.0,24.0,84.0,14.0,0.0,0.0,100.0,0,7.0,8.0,14.0,2.0,29.0,8,0.0,0.0,6.0,62,2.0,2,0.0,57.0,Good
78.0,180.0,6.0,78.0,51.0,0.0,0.0,98.0,5,4.0,6.0,3.0,4.0,68.0,1,3.0,3.0,38.0,35,6.0,4,0.0,78.0,Bad
620.0,243.0,30.0,89.0,23.0,0.0,0.0,83.0,2,4.0,4.0,23.0,2.0,52.0,5,0.0,0.0,17.4,75,4.0,12,3.0,69.6,Bad
68.0,130.0,12.0,71.0,14.0,0.0,0.0,100.0,6,7.0,8.0,14.0,2.0,14.0,0,0.0,0.0,83.0,15,9.0,1,8.0,64.29,Bad
0.0,69.0,8.0,42.0,10.0,0.0,0.0,90.0,0,5.0,0.0,10.0,0.0,0.0,0,0.0,0.0,0.0,72,3.0,0,1.0,0.0,Bad
92.0,330.0,0.0,119.0,10.0,0.0,0.0,100.0,0,7.0,8.0,11.0,2.0,0.0,0,0.0,0.0,0.0,53,1.0,0,0.0,9.09,Bad
